id;createdAt;updatedAt;nome;valuta;2015-08;2015-09;2015-10;2015-11;2015-12;2016-01;2016-02;2016-03;2016-04;2016-05;2016-06;2016-07;2016-08;2016-09
1;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Carote bio - ns;€/Kg;0,00;0,34;0,38;0,38;0,39;0,40;0,41;0,45;0,46;0,64;0,00;0,27;0,27;0,30
2;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cipolle bio - Bianche;€/Kg;0,38;0,38;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31
3;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cipolle bio - Gialle;€/Kg;0,35;0,35;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,31;0,36;0,44;0,44
4;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Cipolle bio - Rosse;€/Kg;0,66;0,66;0,56;0,56;0,56;0,00;0,00;0,00;0,96;0,96;0,96;0,94;0,75;0,69
5;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Finocchi bio - ns;€/Kg;0,22;0,26;0,33;0,35;0,52;0,46;0,34;0,39;0,22;0,22;0,00;0,00;0,00;0,38
6;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Lattuga bio - Gentile;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,30;1,18;1,15;1,15;1,15
7;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Limoni bio - Verdello;€/Kg;0,37;0,39;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,85;0,87;0,86
8;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Melanzane bio - Lunghe;€/Kg;0,26;0,27;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,35;0,43;0,38
9;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Melanzane bio - ns;€/Kg;1,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;0,95;0,95
10;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Melanzane bio - Ovali;€/Kg;0,50;0,00;1,10;1,00;1,00;1,10;1,33;1,30;0,93;0,86;0,62;0,60;0,70;1,24
11;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Melanzane bio - Violette;€/Kg;0,28;0,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,40;0,48;0,43
12;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mele da tavola bio - Florina;€/Kg;0,00;0,00;1,10;1,10;1,10;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,05
13;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mele da tavola bio - Golden Delicious;€/Kg;0,00;1,35;1,35;1,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,20
14;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mele da tavola bio - Royal Gala;€/Kg;1,20;1,35;1,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40;1,23
15;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Mele da tavola bio - Stark Delicious;€/Kg;0,00;1,35;1,35;1,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,23
16;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Meloni bio - ns;€/Kg;0,65;0,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,32;0,90;0,74;0,64
17;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Nettarine bio - Polpa bianca;€/Kg;1,00;1,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;1,20;1,20;1,25
18;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Nettarine bio - Polpa gialla;€/Kg;1,05;1,05;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,14;1,19;1,19;1,23
19;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Nocciole bio - ns;€/Kg;0,00;0,00;4,25;4,45;4,45;4,45;4,45;4,45;4,33;3,80;3,75;3,75;3,75;4,35
20;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Olio extravergine di oliva bio - ns;€/Kg;6,04;6,32;6,27;5,99;5,74;5,79;5,76;5,70;5,73;5,57;5,53;5,54;5,58;5,66
21;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Patate comuni bio - ns;€/Kg;0,49;0,52;0,52;0,53;0,51;0,48;0,47;0,37;0,33;0,33;0,00;0,00;0,42;0,40
22;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Peperoni bio - Colorati misti;€/Kg;1,45;1,45;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40;1,40;1,40
23;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Peperoni bio - Gialli;€/Kg;0,86;1,15;1,44;1,50;1,50;1,61;2,05;2,38;1,84;1,58;1,31;1,20;1,25;1,14
24;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Peperoni bio - Rossi;€/Kg;1,08;1,15;1,44;1,50;1,50;1,61;2,05;2,38;1,84;1,55;1,31;1,20;1,18;1,14
25;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Peperoni bio - Verdi;€/Kg;0,74;0,94;1,24;1,30;1,30;1,30;1,30;0,00;1,42;1,28;1,01;0,90;0,95;0,89
26;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Abate Fetel;€/Kg;0,00;0,00;1,55;1,35;1,35;1,35;1,35;0,00;0,00;0,00;0,00;0,00;0,00;1,45
27;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - Santa Maria;€/Kg;1,38;1,49;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,34;1,34
28;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - William bianco;€/Kg;1,50;1,48;1,48;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,36;1,37
29;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pere da tavola bio - William rosso;€/Kg;0,00;1,58;1,58;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,48
30;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pesche bio - Polpa bianca;€/Kg;0,86;1,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,10;1,04;0,93;0,95
31;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pesche bio - Polpa gialla;€/Kg;0,88;1,28;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,80;1,02;0,86;0,90;1,15
32;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pomodori bio - Ciliegini;€/Kg;1,30;1,80;2,36;1,98;1,66;1,50;1,43;1,43;1,60;1,56;1,20;1,78;1,84;1,62
33;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pomodori bio - Lunghi maturi;€/Kg;0,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,60;0,60;0,60
34;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pomodori bio - ns;€/Kg;0,85;0,85;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,90;0,90;0,90
35;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pomodori bio - Tondi lisci insalatari;€/Kg;0,82;1,30;1,32;0,91;0,71;0,84;0,95;0,99;1,29;1,63;1,34;1,07;1,08;0,90
36;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Pomodori bio - Tondi lisci rossi a grappolo;€/Kg;0,85;1,44;1,54;1,01;0,81;0,98;1,11;1,20;1,50;1,70;0,80;1,14;1,23;1,04
37;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Radicchio bio - Rosso autunnale Chioggia;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,68;0,55
38;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Scalogno bio - ns;€/Kg;0,35;0,35;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33;0,33
39;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Sedani bio - ns;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,20;1,20;1,20
40;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - Angeleno;€/Kg;0,00;1,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50
41;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Susine bio - President;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,40
42;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Italia;€/Kg;0,90;0,73;0,63;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,45;0,78
43;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Red Globe;€/Kg;0,00;0,93;1,15;1,55;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,00
44;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Uva da tavola bio - Sugraone;€/Kg;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1,50
45;2016-10-29T18:46:24.376Z;2016-10-29T18:46:24.376Z;Zucchine bio - ns;€/Kg;0,83;0,79;0,91;1,10;1,06;0,85;0,74;0,60;0,46;0,81;0,79;0,70;0,68;0,63
